Questions,Year,Topic
Which of the following reactions is an example of a redox reaction,2017,physical_chemistry
A water sample has ppm level concentration of following anions 2 F 10 ; SO 100 ; NO 50 4 3 − − − = = = The anion/anions that make/makes the water sample unsuitable for drinking is/ are,2017,inorganic_chemistry
The group having isoelectronic species is,2017,physical_chemistry
The products obtained when chlorine gas reacts with cold and dilute aqueous NaOH are,2017,inorganic_chemistry
In the following reactions ZnO is respectively acting as a/an : (a) ZnO+Na2O → Na2ZnO2 (b) ZnO+CO2 → ZnCO,2017,inorganic_chemistry
Sodium salt of an organic acid ‘X’ produces effervescence with conc H2 SO4  ‘X’ reacts with the acidified aqueous CaCl2  solution to give a white precipitate which decolourises acidic solution of KMnO4  ‘X’ is,2017,inorganic_chemistry
The most abundant elements by mass in the body of a healthy human adult are : Oxygen (614%); Carbon (229%) Hydrogen (100%); and Nitrogen (26%) The weight which a 75 kg person would gain if all 1H atoms are replaced by 2H atoms is,2017,physical_chemistry
On treatment of 100 mL of 01 M solution of CoCl3 6H2O with excess AgNO3 ; 12×1022 ions are precipitated The complex is,2017,physical_chemistry
Which of the following compounds will form significant amount of meta product during mono-nitration reaction,2017,organic_chemistry
Which of the following upon treatment with tert-BuONa followed by addition of bromine water fails to decolourize the colour of bromine,2017,inorganic_chemistry
The formation of which of the following polymers involves hydrolysis reaction,2017,general_chemistry
Which of the following molecules is least resonance stabilized,2017,organic_chemistry
The increasing order of the reactivity of the following halides for the SN 1 reaction is :,2017,organic_chemistry
The major product obtained in the following reaction is,2017,organic_chemistry
Which of the following compounds will behave as a reducing sugar in an aqueous KOH solution,2017,inorganic_chemistry
3-Methyl-pent-2-ene on reaction with HBr in presence of peroxide forms an addition product The number of possible stereoisomers for the product is,2017,organic_chemistry
The correct sequence of reagents for the following conversion will be :,2017,organic_chemistry
The major product obtained in the following reaction is :,2017,organic_chemistry
"At 300 K and 1 atm, 15 mL of a gaseous hydrocarbon requires 375 mL air containing 20% O2  by volume for complete combustion. After combustion the gases occupy 330 mL. Assuming that the water formed is in liquid form and the volumes were measured at the same temperature and pressure, the formula of the hydrocarbon is",2016,organic_chemistry
Two closed bulbs of equal volume (V) containing an ideal gas initially at pressure pi and temperature T1  are connected through a narrow tube of negligible volume as shown in the figure below. The temperature of one of the bulbs is then raised to T2 . The final pressure pf  is,2016,physical_chemistry
"A stream of electrons from a heated filament was passed between two charged plates kept at a potential difference V esu. If e and m are charge and mass of an electron, respectively, then the value of h/λ (where λ is wavelength associated with electron wave) is given by  ",2016,physical_chemistry
The species in which the N atom is in a state of sp hybridization is,2016,inorganic_chemistry
"The heats of combustion of carbon and carbon monoxide are −393.5 and −283.5 kJ mol−1 , respectively. The heat of formation (in kJ) of carbon monoxide per mole is ",2016,thermodynamics
18 g glucose (C6H12O6 ) is added to 178.2 g water. The vapor pressure of water (in torr) for this aqueous solution is,2016,physical_chemistry
"The equilibrium constant at 298 K for a reaction A+B⇌C+D is 100. If the initial concentration of all the four species were 1 M each, then equilibrium concentration of D (in mol L−1 ) will be",2016,physical_chemistry
Galvanization is applying a coating of,2016,inorganic_chemistry
"Decomposition of H2O2  follows a first order reaction. In fifty minutes the concentration of H2O2 decreases from 0.5 to 0.125 M in one such decomposition. When the concentration of H2O2 reaches 0.05 M, the rate of formation of O2  will be ",2016,physical_chemistry
"For a linear plot of log (x/m) versus log p in a Freundlich adsorption isotherm, which of the following statements is correct ? (k and n are constants ",2016,physical_chemistry
Which of the following atoms has the highest first ionization energy,2016,inorganic_chemistry
"Which one of the following ores is best concentrated by froth floatation method  
",2016,inorganic_chemistry
Which one of the following statements about water is FALSE,2016,inorganic_chemistry
"The main oxides formed on combustion of Li, Na and K in excess of air are, respectively",2016,inorganic_chemistry
"The reaction of zinc with dilute and concentrated nitric acid, respectively, produces",2016,inorganic_chemistry
The pair in which phosphorous atoms have a formal oxidation state of +3 is,2016,inorganic_chemistry
The pair having the same magnetic moment is,2016,physical_chemistry
Which one of the following complexes shows optical isomerism,2016,organic_chemistry
"The concentration of fluoride, lead, nitrate and iron in a water sample from an underground lake was found to be 1000 ppb, 40 ppb, 100 ppm and 0.2 ppm, respectively. This water is unsuitable for drinking due to high concentration of",2016,inorganic_chemistry
The distillation technique most suited for separating glycerol from spent-lye in the soap industry is,2016,organic_chemistry
The product of the reaction given below is,2016,organic_chemistry
The absolute configuration of CO2H H OH H Cl CH3 is,2016,inorganic_chemistry
2-chloro-2-methylpentane on reaction with sodium methoxide in methanol yields,2016,organic_chemistry
The reaction of propene with HOCl (Cl2+H2O) proceeds through the intermediate,2016,organic_chemistry
"In the Hofmann bromamide degradation reaction, the number of moles of NaOH and Br2 used per mole of amine produced are",2016,organic_chemistry
Which of the following statements about low density polythene is FALSE,2016,general_chemistry
Thiol group is present in,2016,organic_chemistry
Which of the following is an anionic detergent,2016,general_chemistry
The hottest region of Bunsen flame shown in the figure below is,2016,inorganic_chemistry
The moleclar formula of a commercial resinused for exchanging ions in water softening is C8H7SO3Na (Mol. wt. 206). What would be the maximum uptake of Ca2+ ions by the resin when expressed in mole per gram resin ?,2015,physical_chemistry
Sodium metal crystallizes in a body centred cubic lattice with a unit cell edge of 4.29 Å.The radius of sodium atom is approximately:,2015,physical_chemistry
Which of the following is the energy of a possible excited state of hydrogen?,2015,inorganic_chemistry
"The vapour pressure of acetone at 20oC is 185 torr. When 1.2 g of a non-volatile substance was dissolved in 100 g of acetone at 20oC, its vapour pressure was 183 torr.The molar mass (g mol–1) of the substance is",2015,physical_chemistry
The following reaction is performed at 298 K? 2NO(g) + O2(g) 2NO2(g)? (Kp= 1.6 × 1012),2015,thermodynamics
The intermolecular interation that is dependent on the inverse cube of distance between the molecules is :,2015,inorganic_chemistry
"The standard Gibbs energy change at 300K for the reaction 2A B + C is 2494.2J.At a given time, the composition of the reaction mixture is [A] = 2, [B] = 2 and [C]= 2.The reaction proceeds in the :[R = 8.314 J/K/mol, e = 2.718]",2015,thermodynamics
The moleclar formula of a commercial resin used for exchanging ions in water softening is C8H7SO3Na (Mol. wt. 206). What would bethe maximum uptake of Ca2+ ions by the resinwhen expressed in mole per gram resin ?,2015,inorganic_chemistry
3 g of activated charcoal was added to 50mL of acetic acid solution (0.06N) in a flask.After an hour it was filtered and the strength of the filtrate was found to be 0.042N. The amount of acetic acid adsorbed( per gram of charcoal) is :,2015,physical_chemistry
"he ionic radii (in Å) of N3–, O2– and F–are",2015,physical_chemistry
"In the context of the Hall-Heroult process for the extraction of Al, which of thefollowing statements is false?",2015,inorganic_chemistry
"From the following statements regarding H2O2 , choose the incorrect statement?",2015,inorganic_chemistry
Which one fo the following alkaline earth metal sulphates has its hydration enthalpy greater than its lattice enthalpy?,2015,inorganic_chemistry
Which among the following is the most reactive ?,2015,inorganic_chemistry
Ma tch the catalyst s to the correct processes:Catalyst Process,2015,inorganic_chemistry
The number of geometric isomers that can exist for square planar [Pt(Cl)(py) (NH3)(NH2OH)]+ is (py = pyridine) :,2015,organic_chemistry
The color of KMnO4 is due to,2015,physical_chemistry
Nitrogen and Oxygen are the main components in the atmosphere but these do not react to form oxides of nitrogen Reason: The reaction between nitrogen and oxygen requires high temperature,2015,inorganic_chemistry
"In Carius method of estimation of halogens, 250 mg of an organic compound gave 141 mg of AgBr. The percentage of bromine in the compound is : (at. mass Ag = 108, Br =80)",2015,organic_chemistry
Which of the following compounds will exhibit geometrical isomerism,2015,organic_chemistry
Which compound would give 5 - keto - 2 - methyl hexanal upon ozonolysis,2015,organic_chemistry
The synthesis of alkyl fluorides is best accomplished by,2015,organic_chemistry
In the following sequence of reactions: Toluene A B C KMnO4 SOCl2 H /Pd 2 BaSO4 the product C is,2015,organic_chemistry
Which poloymer is used in the manufacture of paints and lacquers,2015,general_chemistry
Which of the vitamins given below is water soluble,2015,general_chemistry
Which of the following compounds is not colored yellow?,2015,inorganic_chemistry
