Questions,Year,Topic
"  An arc lamp requires a direct current of 10 A at 80 V to function. If it is connected to a 220 V (rms), 50 Hz AC supply, the series inductor needed for it to work is close to  ",2016,electricity_magnetism
  Arrange the following electromagnetic radiations per quantum in the order of increasing energy : A : Blue light B : Yellow light C : X-ray D : Radiowave ,2016,electricity_magnetism
  An observer looks at a distant tree of height 10 m with a telescope of magnifying power of 20. To the observer the tree appears  ,2016,optics
"  The box of a pin hole camera, of length L, has a hole of radius a. It is assumed that when the hole is illuminated by a parallel beam of light of wavelength l the spread of the spot (obtained on the opposite wall of the camera) is the sum of its geometrical spread and the spread due to diffraction. The spot would then have its minimum size (say bmin) when  ",2016,optics
"  Radiation of wavelength l, is incident on a photocell. The fastest emitted electron has speed v. If the wavelength is changed to 3 4  , the speed of the fastest emitted electron will be  ",2016,modern_physics
"  Half-lives of two radioactive elements A and B are 20 minutes and 40 minutes, respectively. Initially, the samples have equal number of nuclei. After 80 minutes, the ratio of decayed numbers of A and B nuclei will be  ",2016,modern_physics
"  If a, b, c, d are inputs to a gate and x is its output, then, as per the following time graph, the gate is  ",2016,electricity_magnetism
  Choose the correct statement : (1) In amplitude modulation the amplitude of the high frequency carrier wave is made to vary in proportion to the amplitude of the audio signal. (2) In amplitude modulation the frequency of the high frequency carrier wave is made to vary in proportion to the amplitude of the audio signal. (3) In frequency modulation the amplitude of the high frequency carrier wave is made to vary in proportion to the amplitude of the audio signal. (4) In frequency modulation the amplitude of the high frequency carrier wave is made to vary in proportion to the frequency of the audio signal ,2016,optics
"  A screw gauge with a pitch of 0.5 mm and a circular scale with 50 divisions is used to measure the thickness of a thin sheet of Aluminium. Before starting the measurement, it is found that when the two jaws of the screw gauge are brought in contact, the 45th division coincides with the main scale line and that the zero of the main scale is barely visible. What is the thickness of the sheet if the main scale reading is 0.5 mm and the 25th division coincides with the main scale line  ",2016,mechanics
  A pipe open at both ends has a fundamental frequency f in air. The pipe is dipped vertically in water so that half of it is in water. The fundamental frequency of the air column is now  ,2016,waves_thermodynamics
"  A galvanometer having a coil resistance of 100 Ω gives a full scale deflection, when a current of 1 mA is passed through it. The value of the resistance, which can convert this galvanometer into ammeter giving a full scale deflection for a current of 10 A, is  ",2016,electricity_magnetism
"  In an experiment for determination of refractive index of glass of a prism by i− d, plot, it was found that a ray incident at angle 358, suffers a deviation of 408 and that it emerges at angle 798. Ιn that case which of the following is closest to the maximum possible value of the refractive index  ",2016,optics
"  Identify the semiconductor devices whose characteristics are given below, in the order (a), (b), (c), (d)  ",2016,electricity_magnetism
"  For a common emitter configuration, if a and b have their usual meanings, the incorrect relationship between a and b is :",2016,electricity_magnetism
"  A man grows into a giant such that his linear dimensions increase by a factor of 9. Assuming that his density remains same, the stress in the leg will change by a factor of  ",2017,mechanics
  A body is thrown vertically upwards. Which one of the following graphs correctly represent the velocity vs time  ,2017,mechanics
"  A body of mass m=10−2 kg is moving in a medium and experiences a frictional force F=−kv2. Its initial speed is v0=10 ms−1. If, after 10 s, its energy is 1 8 mv0 2, the value of k will be  ",2017,mechanics
"  A time dependent force F=6t acts on a particle of mass 1 kg. If the particle starts from rest, the work done by the force during the first 1 sec. will be  ",2017,mechanics
  The moment of inertia of a uniform cylinder of length l and radius R about its perpendicular bisector is I. What is the ratio l/R such that the moment of inertia is minimum  ,2017,mechanics
  A slender uniform rod of mass M and length l is pivoted at one end so that it can rotate in a vertical plane (see figure). There is negligible friction at the pivot. The free end is held vertically above the pivot and then released. The angular acceleration of the rod when it makes an angle θ with the vertical is  ,2017,mechanics
  The variation of acceleration due to gravity g with distance d from centre of the earth is best represented by (R=Earth’s radius)  ,2017,mechanics
"  A copper ball of mass 100 gm is at a temperature T. It is dropped in a copper calorimeter of mass 100 gm, filled with 170 gm of water at room temperature. Subsequently, the temperature of the system is found to be 758C. T is given by : (Given : room temperature=308C, specific heat of copper=0.1 cal/gm8C ",2017,modern_physics
  An external pressure P is applied on a cube at 08C so that it is equally compressed from all sides. K is the bulk modulus of the material of the cube and α is its coefficient of linear expansion. Suppose we want to bring the cube to its original size by heating. The temperature should be raised by  ,2017,modern_physics
  Cp and Cv are specific heats at constant pressure and constant volume respectively. It is observed that Cp−Cv=a for hydrogen gas Cp−Cv=b for nitrogen gas The correct relation between a and b is  ,2017,waves_thermodynamics
"  The temperature of an open room of volume 30 m3 increases from 178C to 278C due to the sunshine. The atmospheric pressure in the room remains 1×105 Pa. If ni and nf are the number of molecules in the room before and after heating, then nf−ni will be  ",2017,waves_thermodynamics
"  A particle is executing simple harmonic motion with a time period T. At time t=0, it is at its position of equilibrium. The kinetic energy - time graph of the particle will look like  ",2017,waves_thermodynamics
  An observer is moving with half the speed of light towards a stationary microwave source emitting waves at frequency 10 GHz. What is the frequency of the microwave measured by the observer ? (speed of light=3×108 ms−1 ,2017,waves_thermodynamics
"  An electric dipole has a fixed dipole moment p ® , which makes angle θ with respect to x-axis. When subjected to an electric field ® Ù 1 E =E i , it experiences a torque ® Ù 1 T = k . When subjected to another electric field ® Ù 2 1 E = 3 E j it experiences a torque ® ® 2 1 T =−T . The angle θ is  ",2017,electricity_magnetism
  A capacitance of 2 μF is required in an electrical circuit across a potential difference of 1.0 kV. A large number of 1 μF capacitors are available which can withstand a potential difference of not more than 300 V. The minimum number of capacitors required to achieve this is  ,2017,electricity_magnetism
"  In the given circuit diagram when the current reaches steady state in the circuit, the charge on the capacitor of capacitance C will be  ",2017,electricity_magnetism
  In the above circuit the current in each resistance is : (1) 1 A (2) 0.25 A (3) 0.5 A (4) 0 A 18.   ,2017,electricity_magnetism
 A magnetic needle of magnetic moment 6.7×10−2 Am2 and moment of inertia 7.5×10−6 kg m2 is performing simple harmonic oscillations in a magnetic field of 0.01 T. Time taken for 10 complete oscillations is,2017,waves_thermodynamics
"  When a current of 5 mA is passed through a galvanometer having a coil of resistance 15 Ω, it shows full scale deflection. The value of the resistance to be put in series with the galvanometer to convert it into a voltmeter of range 0−10 V is  ",2017,electricity_magnetism
"  In a coil of resistance 100 Ω, a current is induced by changing the magnetic flux through it as shown in the figure. The magnitude of change in flux through the coil is  ",2017,electricity_magnetism
"  An electron beam is accelerated by a potential difference V to hit a metallic target to produce X-rays. It produces continuous as well as characteristic X-rays. If λmin is the smallest possible wavelength of X-ray in the spectrum, the variation of log λmin with log V is correctly represented in  ",2017,modern_physics
  A diverging lens with magnitude of focal length 25 cm is placed at a distance of 15 cm from a converging lens of magnitude of focal length 20 cm. A beam of parallel light falls on the diverging lens. The final image formed is  ,2017,optics
"  In a Young’s double slit experiment, slits are separated by 0.5 mm, and the screen is placed 150 cm away. A beam of light consisting of two wavelengths, 650 nm and 520 nm, is used to obtain interference fringes on the screen. The least distance from the common central maximum to the point where the bright fringes due to both the wavelengths coincide is  ",2017,optics
"  A particle A of mass m and initial velocity v collides with a particle B of mass m 2 which is at rest. The collision is head on, and elastic. The ratio of the de-Broglie wavelengths λA to λB after the collision is  ",2017,modern_physics
"  Some energy levels of a molecule are shown in the figure. The ratio of the wavelengths r=λ1/λ2, is given by  ",2017,modern_physics
"  A radioactive nucleus A with a half life T, decays into a nucleus B. At t=0, there is no nucleus B. At sometime t, the ratio of the number of B to that of A is 0.3. Then, t is given by  ",2017,modern_physics
"  In a common emitter amplifier circuit using an n-p-n transistor, the phase difference between the input and the output voltages will be  ",2017,electricity_magnetism
"  In amplitude modulation, sinusoidal carrier frequency used is denoted by ωc and the signal frequency is denoted by ωm. The bandwidth (Δωm) of the signal is such that Δωm<<ωc. Which of the following frequencies is not contained in the modulated wave  ",2017,optics
"  Which of the following statements is false ? (1) Wheatstone bridge is the most sensitive when all the four resistances are of the same order of magnitude. (2) In a balanced wheatstone bridge if the cell and the galvanometer are exchanged, the null point is disturbed. (3) A rheostat can be used as a potential divider. (4) Kirchhoff’s second law represents energy conservation. 30. The following observations were taken for determining surface tension T of water by capillary method : diameter of capillary, D=1.25×10−2 m rise of water, h=1.45×10−2 m. Using g=9.80 m/s2 and the simplified relation rhg 3 T 10 N/m 2 = × , the possible error in surface tension is closest to  ",2017,electricity_magnetism
"The following observations were taken for determining surface tension T of water by capillary method :diameter of capillary, D=1.25×10−2 m rise of water, h=1.45×10−2 m. Using g=9.80 m/s2 and the simplified relation rhg 3T 10 N/m 2= × , the possible error in surface tension is closest to :",2017,mechanics
" The density of a material in the shape of a cube is determined by measuring three sides of the cube and its mass. If the relative errors in measuring the mass and length are respectively 1.5% and 1%, the maximum error in determining the density is ",2018,mechanics
 All the graphs below are intended to represent the same motion. One of them does it incorrectly. Pick it up,2018,mechanics
" Two masses m1=5 kg and m2=10 kg, connected by an inextensible string over a frictionless pulley, are moving as shown in the figure. The coefficient of friction of horizontal surface is 0.15. The minimum weight m that should be put on top of m2 to stop the motion is ",2018,mechanics
 A particle is moving in a circular path of radius a under the action of an attractive potentia,2018,mechanics
" In a collinear collision, a particle with an initial speed vo strikes a stationary particle of the same mass. If the final total kinetic energy is 50% greater than the original kinetic energy, the magnitude of the relative velocity between the two particles, after collision, is ",2018,mechanics
" Seven identical circular planar disks, each of mass M and radius R are welded symmetrically as shown. The moment of inertia of the arrangement about the axis normal to the plane and passing through the point P is ",2018,mechanics
" From a uniform circular disc of radius R and mass 9 M, a small disc of radius R3 is removed as shown in the figure. The moment of inertia of the remaining disc about an axis perpendicular to the plane of the disc and passing through centre of disc is ",2018,mechanics
" A particle is moving with a uniform speed in a circular orbit of radius R in a central force inversely proportional to the nth power of R. If the period of rotation of the particle is T, then ",2018,mechanics
" A solid sphere of radius r made of a soft material of bulk modulus K is surrounded by a liquid in a cylindrical container. A massless piston of area a floats on the surface of the liquid, covering entire cross section of cylindrical container. When a mass m is placed on the surface of the piston to compress the liquid, the fractional decrement in the radius of the sphere",2018,mechanics
 Two moles of an ideal monoatomic gas occupies a volume V at 278C. The gas expands adiabatically to a volume 2 V. Calculate (a) the final temperature of the gas and (b) change in its internal energy,2018,waves_thermodynamics
" An EM wave from air enters a medium. The electric fields are frequency ν refer to their values in air. The medium is non-magnetic. If r1 refer to relative permittivities of air and medium respectively, which of the following options is correct ",2018,electricity_magnetism
 Unpolarized light of intensity I passes through an ideal polarizer A. Another identical polarizer B is placed behind A. The intensity of light beyond B is found to  Now another identical polarizer C is placed between A and B. The intensity beyond B is now found to b,2018,optics
" The angular width of the central maximum in a single slit diffraction pattern is 608. The width of the slit is 1 μm. The slit is illuminated by monochromatic plane waves. If another slit of same width is made near it, Young’s fringes can be observed on a screen placed at a distance 50 cm from the slits. If the observed fringe width is 1 cm, what is slit separation distance ? (i.e. distance between the centres of each slit.",2018,optics
" An electron from various excited states of hydrogen atom emit radiation to come to the ground state. Let λn, λg be the de Broglie wavelength of the electron in the nth state and the ground state respectively. Let Λn be the wavelength of the emitted photon in the transition from the nth state to the ground state. For large n, (A, B are constants",2018,modern_physics
" If the series limit frequency of the Lyman series is νL, then the series limit frequency of the Pfund series is ",2018,modern_physics
" It is found that if a neutron suffers an elastic collinear collision with deuterium at rest, fractional loss of its energy is pd ; while for its similar collision with carbon nucleus at rest, fractional loss of energy is pc. The values of pd and pc are respectively ",2018,modern_physics
 The reading of the ammeter for a silicon diode in the given circuit is ,2018,electricity_magnetism
 A telephonic communication service is working at carrier frequency of 10 GHz. Only 10% of it is utilized for transmission. How many telephonic channels can be transmitted simultaneously if each channel requires a bandwidth of 5 kHz ,2018,optics
" In a potentiometer experiment, it is found that no current passes through the galvanometer when the terminals of the cell are connected across 52 cm of the potentiometer wire. If the cell is shunted by a resistance of 5 Ω, a balance is found when the cell is connected across 40 cm of the wire. Find the internal resistance of the cell",2018,electricity_magnetism
" On interchanging the resistances, the balance point of a meter bridge shifts to the left by 10 cm. The resistance of their series combination is 1 kΩ. How much was the resistance on the left slot before interchanging the resistances ",2018,electricity_magnetism
" The mass of a hydrogen molecule is 3.32×10−27 kg. If 1023 hydrogen molecules strike, per second, a fixed wall of area 2 cm2 at an angle of 458 to the normal, and rebound elastically with a speed of 103 m/s, then the pressure on the wall is nearly ",2018,mechanics
 A silver atom in a solid oscillates in simple harmonic motion in some direction with a frequency of 1012/sec. What is the force constant of the bonds connecting one atom with the other ? (Mole wt. of silver=108 and Avagadro number=6.02×1023 gm mole−1,2018,waves_thermodynamics
 A granite rod of 60 cm length is clamped at its middle point and is set into longitudinal vibrations. The density of granite is 2.7×103 kg/m3 and its Young’s modulus is 9.27×1010 Pa. What will be the fundamental frequency of the longitudinal vibrations ,2018,mechanics
" Three concentric metal shells A, B and C of respective radii a, b and c (a < b < c) have surface charge densities +σ, −σ and +σ respectively. The potential of shell B is ",2018,electricity_magnetism
" A parallel plate capacitor of capacitance 90 pF is connected to a battery of emf 20 V. If a dielectric material of dielectric constant plates, the magnitude of the induced charge will be ",2018,electricity_magnetism
" In an a.c. circuit, the instantaneous e.m.f. and current are given by In one cycle of a.c., the average power consumed by the circuit and the wattless current are, respectively ",2018,electricity_magnetism
 Two batteries with e.m.f. 12 V and 13 V are connected in parallel across a load resistor of 10 Ω. The internal resistances of the two batteries are 1 Ω and 2 Ω respectively. The voltage across the load lies between ,2018,electricity_magnetism
" An electron, a proton and an alpha particle having the same kinetic energy are moving in circular orbits of radii re, rp, rα respectively in a uniform magnetic field B. The relation between re, rp, rα is ",2018,modern_physics
" The dipole moment of a circular loop carrying a current I, is m and the magnetic field at the centre of the loop is B1. When the dipole moment is doubled by keeping the current constant, the magnetic field at the centre of the loop is B2. The rati",2018,electricity_magnetism
" For an RLC circuit driven with voltage of amplitude vm and frequency ωo= 1 LC the current exibits resonance. The quality factor, Q is given by ",2018,electricity_magnetism
"Two stones are thrown up simultaneously from the edge of a cliff 240 m high with initial speed of 10 m/s and 40 m/s respectively. Which of the following graph best represents the time variation of relative position of the second stone with respect to the first ? (Assume stones do no rebound after hitting the ground and neglect air resistance, take g = 10 m/s2 ",2015,mechanics
The period of oscillation of a simple pendulum is T  2 L g . Measured value of L is 20.0 cm known to 1 mm accuracy and time for 100 oscillations of the pendulum is found to be 90 s using a wrist watch of 1s resolution. The accuracy in the determination of g is  ,2015,waves_thermodynamics
"Given the figure are two blocks A and B of weight 20 N and 100 N, respectively. These are being pressed against a wall by a force F as shown. If the coefficient of friction between the blocks is 0.1 and between block B and the wall is 0.15, the frictional force applied by the wall on block B is  ",2015,mechanics
"A particle of mass m moving in the x direction with speed 2 is hit by another particle of mass 2m moving in the y direction with speed . if the collision is perfectly inelastic, the percentage loss in the energy during the collision is close to  ",2015,mechanics
Distance of the centre of mass of a solid uniform cone from its vertex if z0. If the radius of its base is R and its height is h then z0 is equal t ,2015,mechanics
From a solid sphere of mass M and radius R a cube of maximum possible volume is cut. Moment of inertia of cube about an axis passing through its center and perpendicular to one of its faces i ,2015,mechanics
"From a solid sphere of mass M and radius R, a spherical portion of radius R/2 is removed, as shown in the figure. Taking gravitational potential V = 0 at r = , the potential at the centre of the cavityh thus formed is  ",2015,mechanics
"A pendulum made of a uniform wire of crosssectional area A has time period T. When an additional mass M is added to its bob, the time period changes to TM. If the Young's modulus of the material of the wire is Y then 1/Y is euqal t ",2015,mechanics
Consider a spherical shell of radius R at temperature T. The black body radiation inside it can be considered as an ideal gas of photons with internal energy per unit volume u  U  T4 V and pressure      p 1 U 3 V . If the shell now undergoes an adiabatic expansion the relation between T and R i ,2015,modern_physics
A solid body of constant heat capacity 1 J/°C is being heated by keeping it in contact with reservoirs in two ways : (i) Sequentially keeping in contact with 2 reservoirs such that each reservoir supplies same amount of heat. (ii) Sequentially keeping in contact with 8 reservoirs such that each reservoirs supplies same amount of heat. In both the cases body is brought from initial temperature 100°C to final temperature 200°C. Entropy change of the body in the two cases respectively i ,2015,waves_thermodynamics
"Consider an ideal gas confined in an isolated closed chamber. As the gas undergoes an adiabatic expansion, the average time of collision between molecules increases as Vq, when V is the volume of the gas. The value of q i ",2015,waves_thermodynamics
"For a simple pendulum, a graph is plotted between its kinetic energy (KE) and potential energy (PE) against its displacement d. Which one of the following represents these correctly  ",2015,mechanics
A train is moving on a straight track with speed 20 ms–1. It is blowing its whistle at the frequency of 1000 Hz. The percentage change in the frequency heard by a person standing near the track as the train passes him is (speed of sound = 320 ms–1) close t ,2015,waves_thermodynamics
A long cylindrical shell carries positive surface charge  in the upper half and negative surface charge – in the lower half. The electric field lines around the cylinder will look like figure given in ,2015,electricity_magnetism
"A uniformly charged solid sphere of radius R has potential V0 9measured with respect to ) on its surface. For this sphere the equipotential surfaces with potentials 2 3V0 , 4 5V0 , 4 3V0 and 4 V0 have radius R1, R2, R3 and R4 respectively. The ",2015,electricity_magnetism
"In the given circuit, charge Q2 on the 2μF capacitor changes as C is varied from 1μF to 3μF. Q2 as a function of 'C' is given properly b ",2015,electricity_magnetism
"When 5V potential difference is applied across a wire of length 0.1 m, the drift speed of electrons is 2.5 × 10–4 ms–1. If the electron density in the wire is 8 × 1028 m–3, the resistivity of the material is close t ",2015,electricity_magnetism
"In the circuit shown, the current in the 1 resistor i ",2015,electricity_magnetism
Two coaxial solenoids of different radii carry current I in the same direction. Let 1 F  be the magnetic force on the inner solenoid due to the outer one and 2 F  be the magnetic force on the outer solenoid due to the inner on ,2015,electricity_magnetism
"Two long current carrying thin wires, both with current I, are held by insulating threads of length L and are in equilibrium as shown in the figure, with threads making an angle '' with the vertical. If wires have mass  per unit length then the value of I i ",2015,electricity_magnetism
A rectangular loop of sides 10 cm and 5 cm carrying a current I of 12 A is placed in different orientations as shown in the figures belo ,2015,electricity_magnetism
"An inductor (L = 0.03H) and a resistor (R = 0.15 k) are connected in series to a battery of 15V EMF in a circuit shown below. The key K1 has been kept closed for a long time. Then at t = 0, K1 is opened and key K2 is closed simultaneously. At t = 1 ms, the current in the circuit will b ",2015,electricity_magnetism
A red LED emits light at 0.1 watt uniformly around it. The amplitude of the electric field of the light at a distance of 1 m from the diode i ,2015,electricity_magnetism
"Monochromatic light is incident on a glass prism of angle A. If the refractive index of the material of the prism is , a rav, incident at an angle , on the face AB would get transmitted through the face AC of the prism provide ",2015,optics
"On a hot summer night, the refractive index of air is smallest near the ground and increases with height from the ground. When a light beam is directed horizontally, the Huygens' principle leads us to conclude that as it travels, the light bea ",2015,optics
"Assuming human pupil to have a radius of 0.25 cm and a comfortable viewing distance of 25 cm, the minimum separation between two objects that human eye can resolve at 500 nm wavelength i ",2015,optics
An an electron makes a transition from a excited state to the ground state of a hydrogen– like stom/io ,2015,modern_physics
Match List-I (fundamental Experiment) with List –II (its conclusion) and select the correct option from the choice given below the lis ,2015,modern_physics
A signal of 5 kHZ frequency is amplitude modulated on a carrier wave of frequency 2 MHz. The frequencies of the resultant signal is/ar ,2015,optics
An LCR circuit is equivalent to a damped pendulum. In an LCR circuit the capacitor is charged to Q0 and then connected to the L and R as shown belo ,2015,electricity_magnetism
